sector_comprador,tipo_licitacion,tamano_proveedor,macrozona,anio,mes,monto_estimado,cantidad_adjudicada,n_oferentes,dias_cierre,extension_plazo,toma_razon,target
Gobierno Regional,LQ,Mediana,Centro,2023,8,92211339.0,363,12,23,0,0,426000.0
Servicio de Salud,L1,Pequena,Centro Sur,2021,4,50454764.0,69,3,10,0,0,649000.0
Municipalidad,LE,Grande,Centro,2023,10,237130111.0,288,5,14,0,0,539000.0
Gobierno Regional,LE,Grande,Centro Sur,2021,9,240617076.0,349,5,9,0,0,510000.0
Municipalidad,LE,Grande,Centro,2021,8,145105389.0,243,3,19,0,0,568000.0
Municipalidad,LR,Mediana,Centro Sur,2023,2,1003635846.0,1693,4,20,0,1,463000.0
Gobierno Regional,LQ,Mediana,Norte Grande,2023,1,681897466.0,1443,5,22,0,0,470000.0
Servicio de Salud,L1,Micro,Centro Sur,2022,7,10669883.0,24,10,8,0,0,541000.0
Municipalidad,LE,Pequena,Centro,2024,9,43879741.0,59,4,7,0,0,553000.0
Universidad Estatal,LE,Pequena,Norte Chico,2023,2,95743974.0,151,3,9,0,0,627000.0
Municipalidad,LP,Pequena,Centro,2021,1,197873055.0,314,3,17,0,0,613000.0
Municipalidad,LE,Micro,Centro Sur,2024,5,107225651.0,146,7,16,0,0,518000.0
Servicio de Salud,LE,Micro,Sur,2022,1,92211339.0,310,4,19,0,0,589000.0
Municipalidad,LP,Micro,Norte Grande,2021,8,288540371.0,621,6,17,0,0,613000.0
Municipalidad,LP,Pequena,Centro Sur,2021,5,92211339.0,339,8,15,0,0,563000.0
Municipalidad,LE,Grande,Centro,2022,12,44597427.0,114,10,15,0,0,528000.0
Municipalidad,L1,Mediana,Centro,2024,2,92211339.0,33,4,6,0,0,598000.0
Universidad Estatal,LR,Mediana,Norte Chico,2022,9,592222223.0,917,9,34,0,0,531000.0
Ministerio,L1,Mediana,Norte Grande,2022,7,5529968.0,10,2,4,1,0,794000.0
Servicio de Salud,LQ,Mediana,Sur,2022,7,92211339.0,793,5,12,0,1,539000.0
Servicio de Salud,LE,Micro,Centro,2021,2,102076479.0,129,2,8,1,0,617000.0
Municipalidad,LE,Pequena,Centro Sur,2023,6,175298715.0,196,6,5,0,0,637000.0
Municipalidad,LP,Micro,Norte Grande,2021,8,374036378.0,547,2,13,1,0,673000.0
Universidad Estatal,LP,Mediana,Norte Grande,2023,7,92211339.0,516,7,18,0,0,527000.0
Gobierno Regional,LP,Mediana,Centro,2022,2,246125394.0,330,5,11,0,0,495000.0
Municipalidad,LP,Pequena,Centro Sur,2023,2,92211339.0,472,3,21,0,0,592000.0
Municipalidad,LE,Pequena,Centro,2021,1,92211339.0,106,7,12,0,0,667000.0
Municipalidad,LE,Grande,Sur,2022,2,90580787.0,150,5,7,0,0,581000.0
Municipalidad,L1,Pequena,Centro,2022,11,40252615.0,59,3,6,0,0,701000.0
Municipalidad,LE,Micro,Centro,2023,11,92211339.0,393,4,11,0,0,688000.0
Universidad Estatal,L1,Mediana,Centro,2023,12,9638433.0,16,6,14,0,0,655000.0
Municipalidad,L1,Micro,Centro Sur,2022,4,73006392.0,79,2,6,1,0,756000.0
Gobierno Regional,LE,Pequena,Norte Grande,2023,3,136833123.0,188,6,15,0,0,646000.0
Servicio de Salud,L1,Pequena,Centro,2024,12,92211339.0,17,5,4,0,0,599000.0
Municipalidad,LE,Pequena,Centro,2023,4,92211339.0,151,3,4,0,0,679000.0
Servicio de Salud,L1,Mediana,Centro,2021,8,92211339.0,14,4,4,0,0,568000.0
Municipalidad,LR,Grande,Centro,2021,5,719928168.0,1197,10,34,0,0,423000.0
Servicio de Salud,LE,Pequena,Centro,2024,7,112395190.0,166,10,15,0,0,462000.0
Servicio de Salud,LE,Grande,Sur,2022,10,166651912.0,192,8,9,0,0,521000.0
Ministerio,LR,Mediana,Centro Sur,2021,12,758887108.0,1190,6,28,0,1,444000.0
Gobierno Regional,LE,Mediana,Norte Grande,2022,5,157721791.0,191,6,6,0,0,479000.0
Ministerio,LP,Micro,Norte Grande,2021,4,269292045.0,414,4,25,0,0,568000.0
Universidad Estatal,LE,Mediana,Sur,2021,8,51575068.0,96,2,17,1,0,685000.0
Municipalidad,LR,Micro,Sur,2024,5,1400245866.0,2925,6,31,0,0,595000.0
Municipalidad,LP,Grande,Centro,2024,8,313848026.0,634,9,19,0,0,500000.0
Ministerio,L1,Mediana,Centro,2021,2,13898804.0,17,2,5,1,0,561000.0
Ministerio,LE,Pequena,Centro Sur,2022,9,135998817.0,209,5,12,0,0,585000.0
Municipalidad,L1,Mediana,Centro Sur,2022,12,92211339.0,57,4,7,0,0,637000.0
Universidad Estatal,LE,Mediana,Norte Chico,2021,1,106580684.0,108,5,7,0,0,586000.0
Universidad Estatal,L1,Pequena,Centro,2022,7,4259888.0,7,3,4,0,0,628000.0
Servicio de Salud,LE,Micro,Centro Sur,2022,1,92211339.0,273,3,9,0,0,572000.0
Universidad Estatal,LE,Pequena,Centro,2024,8,176998924.0,194,5,9,0,0,625000.0
Ministerio,L1,Mediana,Norte Grande,2023,9,48573932.0,70,7,4,0,0,557000.0
Ministerio,LR,Pequena,Austral,2022,12,552749164.0,790,6,29,0,1,480000.0
Municipalidad,LR,Pequena,Sur,2023,6,760102705.0,1308,7,29,0,1,555000.0
Servicio de Salud,LE,Micro,Centro Sur,2021,8,88176666.0,135,4,15,0,0,600000.0
Municipalidad,LQ,Pequena,Centro,2024,5,759513481.0,1249,9,25,0,1,480000.0
Municipalidad,LP,Mediana,Centro,2023,11,244754081.0,375,7,19,0,0,496000.0
Municipalidad,LE,Micro,Centro,2024,3,239540575.0,262,4,7,0,0,547000.0
Ministerio,LE,Pequena,Centro,2024,3,39547608.0,105,4,13,0,0,480000.0
Ministerio,LR,Micro,Norte Grande,2024,1,92211339.0,1650,2,30,1,0,557000.0
Municipalidad,LE,Pequena,Centro,2024,10,49999221.0,88,9,18,0,0,584000.0
Ministerio,LP,Pequena,Centro Sur,2024,1,622338202.0,919,8,21,0,0,504000.0
Municipalidad,LP,Mediana,Centro,2024,9,100684056.0,244,7,20,0,0,505000.0
Municipalidad,LP,Pequena,Centro Sur,2024,11,189260168.0,344,2,9,0,0,626000.0
Servicio de Salud,LE,Micro,Centro,2022,4,13321559.0,27,6,12,0,0,546000.0
Municipalidad,LQ,Grande,Austral,2022,11,240188130.0,281,2,19,0,1,660000.0
Municipalidad,LE,Mediana,Centro,2022,10,99114972.0,166,6,9,0,0,570000.0
Universidad Estatal,LQ,Pequena,Norte Grande,2022,1,630401262.0,737,4,23,0,1,606000.0
Servicio de Salud,L1,Mediana,Sur,2021,7,92211339.0,69,7,7,0,0,568000.0
Universidad Estatal,L1,Grande,Sur,2021,11,51943140.0,91,3,4,0,0,646000.0
Servicio de Salud,LP,Grande,Centro,2022,3,150463425.0,195,6,19,0,0,440000.0
Ministerio,LP,Grande,Centro Sur,2021,5,92211339.0,451,3,23,0,0,484000.0
Ministerio,LE,Mediana,Centro,2023,11,41194780.0,63,3,13,0,0,559000.0
Municipalidad,LP,Mediana,Norte Chico,2024,5,377527322.0,880,7,21,0,0,507000.0
Servicio de Salud,LP,Grande,Norte Chico,2023,6,147118719.0,390,6,20,0,0,478000.0
Ministerio,L1,Pequena,Centro Sur,2021,3,28922310.0,44,1,4,1,0,669000.0
Gobierno Regional,L1,Mediana,Centro Sur,2022,10,5103874.0,9,4,12,0,0,667000.0
Municipalidad,LP,Mediana,Norte Grande,2022,2,74071099.0,165,5,21,0,0,576000.0
Universidad Estatal,L1,Grande,Sur,2024,4,12583357.0,29,2,4,1,0,678000.0
Servicio de Salud,L1,Grande,Centro Sur,2021,3,4128988.0,9,7,11,0,0,623000.0
Gobierno Regional,LR,Mediana,Centro Sur,2024,1,92211339.0,1021,4,28,0,1,401000.0
Municipalidad,LE,Micro,Centro,2022,10,114833367.0,181,6,15,0,0,565000.0
Gobierno Regional,LP,Mediana,Centro Sur,2023,12,227263669.0,572,6,15,0,0,455000.0
Servicio de Salud,L1,Mediana,Norte Grande,2023,8,29373062.0,44,3,4,0,0,723000.0
Municipalidad,L1,Mediana,Norte Grande,2021,12,22663041.0,30,2,11,1,0,882000.0
Universidad Estatal,LE,Mediana,Sur,2022,7,126683291.0,155,5,7,0,0,511000.0
Gobierno Regional,L1,Micro,Norte Chico,2023,8,11359230.0,23,3,7,0,0,729000.0
Municipalidad,LQ,Pequena,Centro,2024,4,370365440.0,635,7,24,0,1,528000.0
Municipalidad,LE,Grande,Centro,2021,10,115729746.0,153,3,18,0,0,630000.0
Municipalidad,LP,Mediana,Centro,2022,3,38687806.0,104,6,22,0,0,508000.0
Municipalidad,LP,Mediana,Centro,2022,4,457060050.0,770,10,23,0,0,490000.0
Servicio de Salud,L1,Pequena,Norte Chico,2023,1,29045310.0,46,7,16,0,0,534000.0
Servicio de Salud,LP,Pequena,Centro,2024,3,27064364.0,46,1,15,0,0,657000.0
Servicio de Salud,LP,Grande,Centro,2021,4,342247813.0,483,3,12,0,0,463000.0
Servicio de Salud,LE,Grande,Centro Sur,2022,8,100575706.0,117,6,13,0,0,509000.0
Municipalidad,L1,Pequena,Austral,2022,6,22909036.0,34,4,11,0,0,692000.0
Servicio de Salud,LE,Pequena,Centro Sur,2023,8,173040142.0,273,7,10,0,0,521000.0
Servicio de Salud,LE,Mediana,Centro,2021,7,183033940.0,214,4,17,0,0,577000.0
Municipalidad,L1,Micro,Sur,2022,2,16576323.0,27,2,4,0,0,720000.0
Servicio de Salud,LE,Grande,Sur,2021,10,118941473.0,215,3,8,0,0,560000.0
Gobierno Regional,LE,Mediana,Centro Sur,2024,11,49231864.0,66,9,15,0,0,579000.0
Municipalidad,L1,Grande,Centro,2022,3,87880424.0,83,4,5,0,0,524000.0
Municipalidad,LE,Mediana,Norte Grande,2022,6,89404086.0,132,6,19,0,0,600000.0
Municipalidad,LE,Grande,Norte Grande,2022,12,35680898.0,88,2,7,1,0,729000.0
Municipalidad,LP,Pequena,Centro,2023,4,652610093.0,954,4,15,0,0,495000.0
Gobierno Regional,L1,Micro,Centro,2022,12,15900038.0,24,4,4,0,0,701000.0
Servicio de Salud,L1,Micro,Norte Chico,2022,6,27230126.0,38,4,4,0,0,601000.0
Universidad Estatal,LR,Pequena,Norte Grande,2021,8,630262040.0,1175,7,24,0,0,598000.0
Municipalidad,LP,Grande,Norte Chico,2022,6,92211339.0,380,5,17,0,0,609000.0
Municipalidad,LQ,Pequena,Norte Grande,2022,2,92211339.0,156,7,24,0,1,685000.0
Ministerio,LP,Mediana,Centro,2021,11,413215081.0,545,11,17,0,0,471000.0
Municipalidad,LE,Pequena,Centro Sur,2023,8,121771748.0,225,4,12,0,0,565000.0
Servicio de Salud,L1,Pequena,Sur,2023,3,27030327.0,36,5,6,0,0,609000.0
Municipalidad,LE,Mediana,Centro,2021,11,6152062.0,9,6,16,0,0,601000.0
Municipalidad,LE,Grande,Austral,2023,9,66994403.0,110,8,14,0,0,551000.0
Municipalidad,LR,Pequena,Centro,2023,1,92211339.0,2792,3,26,0,1,550000.0
Municipalidad,LE,Grande,Centro,2023,1,150336976.0,148,3,8,0,0,548000.0
Municipalidad,L1,Mediana,Norte Chico,2022,5,24444226.0,34,3,4,0,0,828000.0
Municipalidad,LP,Pequena,Centro,2023,11,77137684.0,87,3,13,0,0,562000.0
Servicio de Salud,LE,Micro,Centro Sur,2022,1,129979919.0,201,8,13,0,0,630000.0
Municipalidad,LE,Grande,Norte Chico,2021,10,18232322.0,33,9,11,0,0,577000.0
Municipalidad,L1,Mediana,Centro Sur,2022,8,11329326.0,18,2,10,1,0,731000.0
Servicio de Salud,L1,Mediana,Centro,2021,3,65105469.0,67,3,4,0,0,561000.0
Ministerio,L1,Pequena,Centro Sur,2022,4,38223320.0,63,3,4,0,0,619000.0
Servicio de Salud,L1,Grande,Centro,2024,3,25512193.0,26,4,8,0,0,635000.0
Ministerio,LE,Grande,Centro,2023,11,89789229.0,150,6,11,0,0,481000.0
Municipalidad,L1,Grande,Centro Sur,2023,4,17068641.0,19,2,6,0,0,653000.0
Servicio de Salud,L1,Pequena,Centro,2024,3,92211339.0,39,10,4,0,0,634000.0
Ministerio,LE,Mediana,Centro,2022,2,188355801.0,262,2,4,1,0,587000.0
Municipalidad,LE,Grande,Centro,2023,5,169626001.0,164,6,4,0,0,512000.0
Universidad Estatal,LQ,Micro,Centro Sur,2022,8,330780845.0,631,5,18,0,0,520000.0
Servicio de Salud,LE,Grande,Centro,2022,3,184658749.0,463,5,5,0,0,482000.0
Municipalidad,LE,Grande,Centro,2022,1,89798460.0,126,8,14,0,0,482000.0
Municipalidad,LE,Pequena,Centro,2023,6,62579974.0,83,4,13,0,0,600000.0
Ministerio,LE,Mediana,Sur,2024,6,92211339.0,83,10,17,0,0,484000.0
Ministerio,LE,Pequena,Norte Chico,2022,4,65681814.0,136,4,11,0,0,519000.0
Gobierno Regional,LP,Mediana,Centro Sur,2021,10,260966301.0,419,8,21,0,0,538000.0
Ministerio,LP,Pequena,Sur,2023,12,557813795.0,785,3,18,0,0,590000.0
Municipalidad,LE,Pequena,Centro Sur,2023,2,25667418.0,36,3,7,0,0,625000.0
Ministerio,LE,Mediana,Centro,2024,8,75672568.0,126,8,14,0,0,449000.0
Ministerio,LE,Pequena,Centro Sur,2024,10,114143928.0,223,1,12,1,0,565000.0
Universidad Estatal,L1,Pequena,Centro,2022,7,19695265.0,29,3,12,0,0,621000.0
Gobierno Regional,LQ,Grande,Centro,2023,7,701636839.0,1054,11,21,0,1,422000.0
Municipalidad,LE,Pequena,Centro,2021,10,61749208.0,44,5,13,0,0,588000.0
Ministerio,LR,Mediana,Centro,2024,9,257298787.0,497,6,31,0,1,392000.0
Servicio de Salud,LQ,Grande,Centro,2023,8,852225505.0,1121,4,23,0,1,471000.0
Ministerio,LE,Mediana,Centro,2023,7,126889870.0,188,3,19,0,0,544000.0
Municipalidad,LP,Pequena,Centro,2021,3,92211339.0,174,8,15,0,0,520000.0
Ministerio,L1,Pequena,Centro,2021,11,48957666.0,110,8,6,0,0,563000.0
Ministerio,L1,Grande,Sur,2024,7,32424025.0,40,5,6,0,0,595000.0
Servicio de Salud,L1,Micro,Norte Grande,2021,2,21504585.0,29,1,4,1,0,881000.0
Servicio de Salud,LE,Mediana,Centro,2022,5,107999875.0,139,6,14,0,0,467000.0
Municipalidad,LE,Micro,Centro,2024,5,53161558.0,67,2,15,1,0,663000.0
Ministerio,LP,Micro,Centro,2022,10,291169085.0,532,1,11,1,0,589000.0
Universidad Estatal,LE,Mediana,Centro Sur,2023,11,7771490.0,20,3,14,0,0,596000.0
Municipalidad,LP,Micro,Centro,2024,4,295573453.0,480,5,17,0,0,522000.0
Servicio de Salud,L1,Mediana,Centro,2024,12,92211339.0,36,3,8,0,0,595000.0
Municipalidad,LE,Mediana,Centro Sur,2024,5,92211339.0,196,4,16,0,0,564000.0
Ministerio,LE,Pequena,Norte Grande,2021,12,92211339.0,182,3,14,0,0,638000.0
Universidad Estatal,LE,Grande,Centro,2021,8,139168579.0,165,7,11,0,0,472000.0
Ministerio,L1,Micro,Centro,2022,8,92211339.0,20,5,4,0,0,603000.0
Universidad Estatal,LE,Mediana,Centro Sur,2023,3,107796125.0,217,6,24,0,0,506000.0
Ministerio,LE,Micro,Norte Grande,2021,7,92211339.0,102,3,17,0,0,695000.0
Servicio de Salud,LE,Mediana,Norte Grande,2022,4,67943857.0,78,3,14,0,0,588000.0
Ministerio,L1,Pequena,Centro,2022,12,20593138.0,29,5,4,0,0,605000.0
Municipalidad,LE,Pequena,Centro,2024,3,63161455.0,121,2,4,1,0,608000.0
Municipalidad,L1,Pequena,Centro,2023,10,37532153.0,77,3,4,0,0,582000.0
Ministerio,LE,Mediana,Centro,2024,6,67515742.0,107,1,14,1,0,533000.0
Gobierno Regional,LR,Micro,Centro,2021,8,1930310132.0,3000,5,32,0,1,458000.0
Ministerio,LP,Pequena,Norte Chico,2024,3,101962630.0,205,7,16,0,0,483000.0
Servicio de Salud,LQ,Grande,Norte Chico,2021,12,307357987.0,546,5,26,0,1,473000.0
Municipalidad,LE,Micro,Centro,2021,6,161032112.0,246,4,16,0,0,614000.0
Municipalidad,LQ,Pequena,Norte Grande,2024,8,92211339.0,656,3,22,0,0,664000.0
Municipalidad,LR,Mediana,Norte Chico,2021,5,2841883608.0,3000,5,29,0,1,481000.0
Municipalidad,LE,Pequena,Centro,2021,6,228445224.0,230,7,16,0,0,546000.0
Municipalidad,LP,Grande,Sur,2022,1,259571137.0,339,2,13,0,0,602000.0
Municipalidad,L1,Pequena,Centro,2021,2,35089275.0,60,6,4,0,0,643000.0
Ministerio,LE,Micro,Norte Chico,2023,12,92211339.0,126,3,8,0,0,572000.0
Universidad Estatal,LE,Mediana,Centro,2022,11,58635060.0,80,6,11,0,0,523000.0
Servicio de Salud,LE,Mediana,Centro Sur,2022,12,142521659.0,213,1,6,1,0,618000.0
Gobierno Regional,L1,Pequena,Austral,2022,11,11616050.0,17,3,4,0,0,747000.0
Ministerio,LE,Micro,Centro,2024,10,128307904.0,206,3,13,0,0,591000.0
Ministerio,L1,Pequena,Centro,2022,6,118061323.0,104,10,10,0,0,468000.0
Municipalidad,LE,Mediana,Centro,2022,9,81534649.0,99,3,10,0,0,586000.0
Municipalidad,L1,Grande,Norte Chico,2024,6,57507399.0,68,1,4,0,0,657000.0
Municipalidad,LE,Grande,Centro,2023,2,52981714.0,59,2,10,0,0,657000.0
Ministerio,LQ,Pequena,Centro,2024,10,648657466.0,851,10,20,0,1,382000.0
Ministerio,LE,Grande,Centro,2022,10,104883473.0,136,2,14,1,0,645000.0
Municipalidad,LE,Mediana,Centro,2022,4,54891879.0,76,3,10,0,0,677000.0
Universidad Estatal,LE,Grande,Centro Sur,2022,2,117075686.0,299,2,9,1,0,566000.0
Municipalidad,L1,Pequena,Centro,2021,11,92211339.0,40,7,8,0,0,639000.0
Gobierno Regional,LE,Mediana,Sur,2023,2,30937652.0,64,7,18,0,0,512000.0
Municipalidad,L1,Mediana,Centro,2024,5,40443280.0,56,3,6,0,0,681000.0
Universidad Estatal,LQ,Grande,Centro,2021,5,1573523973.0,1865,4,24,0,0,410000.0
Municipalidad,L1,Micro,Centro Sur,2022,9,15067242.0,33,8,8,0,0,601000.0
Gobierno Regional,L1,Mediana,Centro,2021,10,18606488.0,50,5,4,0,0,578000.0
Servicio de Salud,LE,Micro,Centro,2022,7,56446025.0,143,1,4,1,0,681000.0
Municipalidad,LQ,Micro,Centro,2023,12,376164082.0,488,1,20,0,0,704000.0
Gobierno Regional,LE,Mediana,Sur,2022,12,92211339.0,93,2,12,1,0,699000.0
Municipalidad,LQ,Pequena,Centro,2021,12,223649397.0,432,7,27,0,1,498000.0
Municipalidad,L1,Mediana,Centro,2022,5,25289565.0,36,2,5,1,0,689000.0
Municipalidad,LQ,Pequena,Sur,2022,6,281810129.0,441,2,19,1,1,645000.0
Municipalidad,LR,Mediana,Centro,2023,8,1144863249.0,1997,4,25,0,0,503000.0
Ministerio,LE,Micro,Sur,2024,2,125604566.0,235,1,11,1,0,635000.0
